时间,微压差
98.25,-124
98.31,-125
98.41,-128
98.47,-131
98.58,-136
98.67,-138
98.74,-139
98.83,-141
98.89,-142
99,-148
99.09,-150
99.16,-151
99.25,-154
99.31,-157
99.42,-159
99.52,-162
99.58,-163
99.67,-165
99.74,-167
99.84,-172
99.94,-174
100,-175
100.09,-176
100.16,-178
100.27,-183
100.36,-186
100.42,-187
100.52,-189
100.58,-191
100.69,-195
100.78,-197
100.84,-198
100.94,-199
101,-201
101.11,-206
101.2,-209
101.27,-209
101.36,-210
101.42,-211
101.52,-216
101.58,-218
101.69,-220
101.78,-222
101.84,-223
101.94,-228
102,-228
102.11,-231
102.2,-126
102.27,-54
102.36,-68
102.42,-73
102.53,-79
102.63,-83
102.69,-83
102.78,-89
102.84,-93
102.95,-98
103.05,-100
103.11,-102
103.2,-107
103.27,-111
103.38,-112
103.47,-115
103.53,-116
103.63,-120
103.69,-124
103.8,-127
103.89,-129
103.95,-129
104.05,-133
104.11,-136
104.22,-140
104.31,-142
104.38,-143
104.5,-147
104.61,-152
104.72,-154
104.81,-157
104.88,-159
104.97,-161
105.03,-164
105.14,-167
105.24,-168
105.3,-170
105.39,-175
105.45,-177
105.56,-179
105.66,-180
105.72,-181
105.81,-185
105.88,-188
105.99,-190
106.08,-192
106.14,-193
106.24,-195
106.3,-198
106.41,-201
106.5,-203
106.56,-204
106.66,-208
106.72,-211
106.83,-214
106.92,-214
106.99,-215
107.08,-219
107.14,-221
107.25,-224
107.34,-225
107.41,-226
107.5,-228
107.56,-230
107.67,-128
107.77,-67
107.83,-71
107.92,-79
107.99,-84
108.09,-90
108.19,-92
108.25,-94
108.34,-98
108.41,-102
108.52,-107
108.61,-110
108.67,-111
108.77,-116
108.83,-116
108.94,-122
109.03,-124
109.09,-125
109.19,-129
109.25,-132
109.34,-136
109.41,-137
109.52,-138
109.61,-141
109.67,-143
109.77,-148
109.83,-149
109.94,-151
110.03,-155
110.09,-157
110.19,-160
110.25,-162
110.36,-163
110.45,-166
110.52,-169
110.64,-173
110.7,-175
110.8,-176
110.86,-177
110.95,-182
111.02,-185
111.11,-186
111.17,-187
111.28,-189
111.38,-193
111.44,-195
111.53,-199
111.59,-200
111.7,-202
111.8,-204
111.86,-206
111.95,-210
112.02,-211
112.13,-213
112.22,-217
112.28,-219
112.38,-221
112.44,-222
112.53,-223
112.63,-226
112.69,-229
112.78,-219
112.84,-87
112.95,-66
113.05,-71
113.11,-75
113.2,-83
113.27,-86
113.38,-90
113.47,-95
113.53,-99
113.63,-104
113.69,-104
113.8,-107
113.89,-110
113.95,-113
114.05,-118
114.11,-119
114.22,-122
114.31,-123
114.38,-126
114.47,-132
114.53,-134
114.64,-136
114.74,-139
114.8,-141
114.89,-146
114.95,-146
115.06,-148
115.16,-150
115.22,-153
115.31,-157
115.38,-159
115.49,-161
115.58,-164
115.64,-164
115.74,-169
115.81,-171
115.88,-172
115.99,-173
116.08,-177
116.14,-179
116.24,-183
116.3,-185
116.41,-186
116.5,-191
116.56,-193
116.66,-195
116.72,-196
116.83,-198
116.92,-201
116.99,-204
117.08,-207
117.14,-208
117.25,-208
117.34,-211
117.41,-213
117.5,-217
117.56,-219
117.67,-220
117.77,-223
117.83,-226
117.92,-228
117.99,-229
118.08,-230
118.14,-142
118.25,-58
118.34,-69
118.41,-73
118.5,-77
118.56,-77
118.67,-84
118.77,-91
118.83,-93
118.92,-96
118.99,-98
119.09,-103
119.19,-106
119.25,-109
119.34,-112
119.41,-113
119.52,-117
119.61,-123
119.67,-124
119.77,-126
119.83,-126
119.94,-129
120.03,-135
120.09,-137
120.19,-139
120.25,-140
120.36,-144
120.45,-146
120.52,-149
120.61,-151
120.67,-152
120.78,-156
120.88,-161
120.94,-162
121.03,-164
121.09,-165
121.2,-167
121.3,-172
121.36,-175
121.45,-177
121.52,-177
121.63,-180
121.72,-185
121.78,-185
121.88,-188
121.94,-189
122.05,-191
122.14,-196
122.2,-198
122.3,-200
122.36,-201
122.47,-202
122.56,-206
122.63,-209
122.72,-211
122.78,-212
122.88,-214
122.94,-216
123.05,-221
123.14,-222
123.2,-222
123.3,-224
123.36,-226
123.47,-231
123.56,-222
123.63,-89
123.72,-73
123.78,-79
123.89,-89
123.99,-95
124.05,-97
124.14,-101
124.2,-104
124.31,-111
124.41,-113
124.47,-115
124.56,-117
124.63,-119
124.74,-125
124.83,-129
124.89,-130
124.99,-131
125.05,-132
125.16,-137
125.25,-142
125.31,-143
125.41,-144
125.47,-146
125.58,-151
125.67,-153
125.74,-155
125.83,-156
125.89,-158
126,-162
126.09,-166
126.16,-168
126.25,-169
126.31,-169
126.42,-173
126.52,-178
126.58,-179
126.67,-180
126.74,-182
126.83,-187
126.89,-189
127,-191
127.09,-192
127.16,-193
127.25,-197
127.31,-200
127.42,-203
127.52,-205
127.58,-206
127.67,-208
127.74,-210
127.84,-214
127.94,-216
128,-217
128.05,-218
128.16,-223
128.27,-226
128.36,-227
128.42,-228
128.47,-229
128.52,-231
128.58,-110
128.69,-65
128.74,-69
128.84,-75
128.94,-79
129,-83
129.05,-86
129.11,-90
129.2,-94
129.27,-95
129.36,-100
129.42,-104
129.47,-106
129.53,-109
129.58,-109
129.69,-111
129.74,-112
129.84,-117
129.95,-122
130,-124
130.05,-125
130.11,-126
130.2,-128
130.27,-130
130.36,-135
130.42,-137
130.47,-137
130.53,-138
130.58,-139
130.69,-143
130.74,-146
130.84,-148
130.95,-150
131,-151
131.05,-153
131.11,-155
131.2,-160
131.27,-162
131.38,-163
131.47,-165
131.53,-166
131.58,-169
131.66,-171
131.77,-175
131.88,-176
131.97,-180
132.03,-182
132.08,-184
132.19,-187
132.24,-188
132.3,-188
132.39,-193
132.45,-193
132.5,-195
132.55,-197
132.61,-198
132.72,-200
132.77,-201
132.88,-206
132.97,-209
133.03,-210
133.08,-211
133.14,-211
133.19,-211
133.24,-213
133.3,-216
133.39,-220
133.45,-221
133.5,-221
133.55,-222
133.61,-224
133.72,-228
133.77,-228
133.88,-232
133.97,-81
134.03,-70
134.08,-76
134.14,-82
