"time","temper","val"
399015,24,-3.2334
400015,24,-2.8560
401015,24,-2.6372
402015,24,-2.3377
403015,24,-2.2260
404015,24,-2.4508
405015,24,-2.9244
406015,24,-3.3386
407015,24,-2.7187
408015,24,1.0332
409000,24,10.0904
410015,24,25.0207
411015,24,43.3352
412015,24,62.2753
413015,24,88.6366
414000,24,102.5742
415015,24,103.7883
416015,24,112.3197
417000,24,119.8977
418000,24,128.6936
419015,24,139.6279
420000,23,150.5255
421000,24,160.3995
422000,24,167.1745
423000,24,170.8829
424000,24,171.5987
425015,24,170.0663
426015,24,166.8771
427015,24,162.5159
428000,24,157.0301
429015,24,150.9288
430000,24,144.4961
431015,24,138.0145
432015,24,131.3561
433015,24,125.0345
434000,24,118.5131
435015,24,112.2024
436000,24,105.7913
437000,24,99.3056
438015,24,92.7912
439015,24,86.6128
440015,24,80.3602
441015,24,74.5246
442015,24,68.6858
443000,24,62.8195
444000,24,57.1000
445000,24,51.5619
446000,24,42.7925
447000,24,38.1607
448015,24,33.9045
449015,24,33.7482
450000,24,30.3163
451000,24,27.2477
452015,24,24.4835
453015,24,22.0353
454000,24,19.7940
455000,24,17.8072
456000,24,16.0219
457000,24,14.4653
458015,24,13.0621
459015,24,11.8113
460000,24,10.7036
461015,24,9.7349
462015,24,8.9000
463015,24,8.1493
464015,24,7.5032
465015,24,6.9227
466000,24,6.4078
467015,24,5.9360
468000,24,5.5108
469000,24,5.1195
470000,24,4.7666
471000,24,4.4679
472000,24,4.2174
473015,24,4.0069
474015,24,3.8131
475015,24,3.6193
476015,24,3.4260
477015,24,3.2490
478015,24,3.0841
479000,24,2.9216
480000,24,2.7745
481000,24,2.6344
482000,24,2.4932
483015,24,2.3691
484000,24,2.2614
485015,24,2.1688
486015,24,2.0865
487015,24,2.0057
488015,24,1.9281
489000,24,1.8588
490000,24,1.7886
491000,23,1.7126
492000,24,1.6415
493015,24,1.5911
494015,24,1.5471
495015,24,1.5034
496000,24,1.4666
497015,24,1.4330
498000,24,1.4019
499015,24,1.3659
500000,24,1.3319
501015,24,1.3020
502000,24,1.2658
503015,24,1.2364
504015,24,1.2043
505000,24,1.1678
506000,24,1.1462
507000,24,1.1258
508015,24,1.1006
509000,24,1.0716
510015,24,1.0570
511015,24,1.0470
512015,24,1.0237
513000,24,0.9930
514000,24,0.9769
515000,24,0.9623
516015,24,0.9466
517000,24,0.9284
518000,24,0.9120
519015,24,0.9013
520000,24,0.8888
521015,24,0.8773
522015,24,0.8692
523000,24,0.8652
524000,24,0.8453
525015,24,0.8228
526015,24,0.8089
527015,24,0.8028
528015,24,0.7991
529015,24,0.8024
530015,24,0.7991
531015,24,0.7917
532015,24,0.7903
533000,24,0.7787
534015,24,0.7576
535015,24,0.7339
536015,24,0.7307
537015,24,0.7358
538000,24,0.7496
539015,24,0.7592
540015,24,0.7604
541000,24,0.7468
542015,24,0.7344
543000,24,0.7299
544015,24,0.7430
545000,24,0.7617
546015,24,0.7616
547015,24,0.7526
548015,24,0.7457
549000,24,0.7407
550015,24,0.7306
551000,24,0.7159
552000,24,0.7034
553000,24,0.7005
554000,24,0.6943
555000,24,0.6900
556000,24,0.6764
557000,24,0.6675
558015,23,0.6667
559015,24,0.6582
560015,24,0.6470
561015,24,0.6451
562015,24,0.1879
563015,24,0.5172
564000,24,0.9401
565000,24,1.1801
566000,24,1.1965
567000,24,1.2982
568000,24,1.3083
569000,24,1.2442
570000,24,1.2024
571000,24,1.2254
